inc_number,occurred_on,ucr_crime_category,100_block_addr,zip,premise_type,year,month,day_name,hour
201500002107271,2015-11-02 02:06:00,AGGRAVATED ASSAULT,2800 W CACTUS RD,85029,CONVENIENCE MARKET / STORE,2015.0,11.0,Monday,2.0
201500002107295,2015-11-02 02:18:00,AGGRAVATED ASSAULT,4200 N 27TH AVE,85017,APARTMENT,2015.0,11.0,Monday,2.0
201500002107343,2015-11-02 02:57:00,ROBBERY,6700 W MCDOWELL RD,85035,GAS / SERVICE STATION,2015.0,11.0,Monday,2.0
201500002111615,2015-11-02 03:00:00,LARCENY-THEFT,2600 N 32ND AVE,85009,STREET / ROADWAY / ALLEY / SIDEWALK,2015.0,11.0,Monday,3.0
201500002107355,2015-11-02 03:00:00,LARCENY-THEFT,4000 N 19TH AVE,85015,DEPARTMENT / DISCOUNT STORE,2015.0,11.0,Monday,3.0
201500002120749,2015-11-02 03:00:00,RAPE,00 N 32ND ST,85034,PARKING LOT,2015.0,11.0,Monday,3.0
201500002107357,2015-11-02 03:03:00,BURGLARY,6300 N 12TH ST,85014,GAS / SERVICE STATION,2015.0,11.0,Monday,3.0
201500002108051,2015-11-02 03:33:00,BURGLARY,18600 N CAVE CREEK RD,85024,OTHER,2015.0,11.0,Monday,3.0
201500002107482,2015-11-02 04:15:00,BURGLARY,2300 W GLENDALE AVE,85021,CONVENIENCE MARKET / STORE,2015.0,11.0,Monday,4.0
201500002108060,2015-11-02 05:00:00,LARCENY-THEFT,5300 W ILLINI ST,85043,VEHICLE,2015.0,11.0,Monday,5.0
201500002110260,2015-11-02 05:00:00,BURGLARY,8100 W MARIPOSA DR,85033,SINGLE FAMILY HOUSE,2015.0,11.0,Monday,5.0
201500002107560,2015-11-02 05:15:00,LARCENY-THEFT,2600 W PERSHING AVE,85029,SINGLE FAMILY HOUSE,2015.0,11.0,Monday,5.0
201500002107665,2015-11-02 05:45:00,BURGLARY,700 E HATCHER RD,85020,STOREROOM/SHED (COMMERCIAL),2015.0,11.0,Monday,5.0
201500002107625,2015-11-02 05:55:00,AGGRAVATED ASSAULT,E DUNLAP AVE & N 12TH ST,85020,STREET / ROADWAY / ALLEY / SIDEWALK,2015.0,11.0,Monday,5.0
201500002111590,2015-11-02 06:00:00,BURGLARY,2000 W EARLL DR,85015,SINGLE FAMILY HOUSE,2015.0,11.0,Monday,6.0
201500002210071,2015-11-02 06:00:00,BURGLARY,3000 N 67TH AVE,85033,APARTMENT,2015.0,11.0,Monday,6.0
201500002109221,2015-11-02 06:00:00,MOTOR VEHICLE THEFT,5600 N 17TH AVE,85015,PARKING LOT,2015.0,11.0,Monday,6.0
201500002111106,2015-11-02 06:00:00,LARCENY-THEFT,200 E BELL RD,85022,PARKING LOT,2015.0,11.0,Monday,6.0
201500002109761,2015-11-02 06:00:00,BURGLARY,8000 W GLENROSA AVE,85033,SINGLE FAMILY HOUSE,2015.0,11.0,Monday,6.0
201500002113357,2015-11-02 06:30:00,LARCENY-THEFT,900 E MCDOWELL RD,85006,HOSPITAL,2015.0,11.0,Monday,6.0
201500002110595,2015-11-02 06:35:00,BURGLARY,10200 W FLORENCE AVE,85353,SINGLE FAMILY HOUSE,2015.0,11.0,Monday,6.0
201500002108309,2015-11-02 06:50:00,LARCENY-THEFT,10200 W INDIAN SCHOOL RD,85037,OFFICE / COMMERCIAL BUILDING,2015.0,11.0,Monday,6.0
